1.000000000E+00,1.000000000E+00,3.200839600E+07
1.000000000E+00,2.000000000E+00,3.427005200E+07
1.000000000E+00,3.000000000E+00,3.429338000E+07
1.000000000E+00,4.000000000E+00,3.429607600E+07
1.000000000E+00,5.000000000E+00,3.429181600E+07
1.000000000E+00,6.000000000E+00,3.428876400E+07
1.000000000E+00,7.000000000E+00,3.428866000E+07
1.000000000E+00,8.000000000E+00,3.428863200E+07
1.000000000E+00,9.000000000E+00,3.428862000E+07
1.000000000E+00,0.000000000E+00,3.428862800E+07
2.000000000E+00,1.000000000E+00,3.172091800E+07
2.000000000E+00,2.000000000E+00,3.427341600E+07
2.000000000E+00,3.000000000E+00,3.430020000E+07
2.000000000E+00,4.000000000E+00,3.430416000E+07
2.000000000E+00,5.000000000E+00,3.429987600E+07
2.000000000E+00,6.000000000E+00,3.429682000E+07
2.000000000E+00,7.000000000E+00,3.429671600E+07
2.000000000E+00,8.000000000E+00,3.429670400E+07
2.000000000E+00,9.000000000E+00,3.429668000E+07
2.000000000E+00,0.000000000E+00,3.429668800E+07
